obsolete_id,obsolete_date,successor_id,release_date
116l,31-JUL-94,216l,1993-10-31
125d,15-APR-98,1aw6,1994-01-31
14ps,20-SEP-99,1qjb,1999-01-13
151c,30-OCT-78,251c,1978-10-30
156b,15-JAN-91,256b,1979-09-11
1a0v,07-DEC-04,1y46,1998-03-18
1a0w,07-DEC-04,1y4f,1998-03-18
1a0x,07-DEC-04,1y4g,1998-03-18
1a0y,07-DEC-04,1y4p,1998-03-18
1a2k,01-MAR-23,5bxq,1998-04-29
1a6o,29-MAY-02,1lr4,1998-06-17
1a9d,11-NOV-98,1bz9,1998-06-17
1a9k,18-NOV-98,1b0g,1998-07-15
1aa8,13-APR-04,1ve9,1997-04-21
1aak,18-MAR-98,2aak,1993-10-31
1abh,21-APR-97,2abh,1993-10-31
1abk,15-OCT-95,2abk,1993-07-15
1abm,06-NOV-02,1n0j,1993-10-31
1abp,31-OCT-93,1abe,1980-10-21
1abx,07-MAY-86,2abx,1980-06-05
1ace,08-NOV-96,2ace,1992-01-15
1ack,11-FEB-98,2ack,1994-08-31
1act,07-MAR-80,2act,1980-03-07
1ada,31-MAR-95,2ada,1992-01-15
1adk,03-MAY-77,2adk,1977-05-03
1adm,27-JAN-97,2adm,1995-10-18
1adt,31-MAR-10,2wb0,1996-06-20
1afg,15-OCT-95,2afg,1994-06-22
1afn,01-AUG-96,2afn,1994-04-30
1ak3,12-MAY-95,2ak3,1991-10-15
1alo,21-DEC-01,1hlr,1997-01-11
1alp,17-JUL-85,2alp,1979-07-17
1alr,20-JUN-96,2alr,1995-09-15
1am3,14-OCT-98,1a8o,1998-01-14
1amg,01-APR-97,2amg,1995-02-27
1amv,21-OCT-98,2amv,1997-09-17
1anh,29-JAN-96,2anh,1995-01-26
1ape,03-FEB-82,2ape,1982-02-03
1apg,31-AUG-11,3rtj,1994-01-31
1app,21-APR-83,2app,1983-04-21
1apr,16-JUL-87,2apr,1979-09-07
1ar3,18-NOV-98,1b0j,1997-11-12
1ara,23-JUL-97,1am0,1997-01-27
1arn,10-JUL-00,1dyz,1995-07-31
1as9,18-NOV-98,1b0k,1997-11-12
1asi,01-AUG-96,2asi,1994-12-20
1at7,17-JUN-98,1bax,1998-01-28
1atc,07-DEC-82,3atc,1982-12-07
1atq,18-NOV-98,1b0m,1997-11-12
1aub,26-MAR-01,1e0e,1998-10-14
1axf,21-DEC-04,1y85,1998-01-28
1ayh,31-MAR-95,2ayh,1993-10-31
1ayq,27-MAY-98,2ayq,1998-01-28
1az9,16-AUG-05,1wl9,1999-04-06
1aza,15-JAN-87,2aza,1984-07-18
1b1w,21-FEB-00,1cmi,2000-01-19
1b2n,24-JAN-01,1g72,1998-12-02
1b3m,05-APR-02,1l9f,2000-02-18
1b5c,16-JAN-78,2b5c,1978-01-16
1b6n,22-MAR-05,1z1h,2000-01-07
1b6o,22-MAR-05,1z1r,2000-01-07
1b7c,22-MAR-00,1c75,2000-01-21
1b8b,28-MAR-02,1h7a,1999-03-11
1b91,11-DEC-02,1n72,2000-02-17
1baa,15-JAN-96,2baa,1993-10-31
1bcl,23-FEB-79,2bcl,1979-02-23
1bdp,13-JAN-99,1xwl,1997-11-26
1ber,01-MAR-02,1j59,1996-07-11
1bfl,28-MAY-99,1cnq,1999-05-25
1bgh,12-FEB-97,1vqb,1993-10-31
1bgl,10-DEC-14,4v40,1995-12-07
1bgm,10-DEC-14,4v40,1995-12-07
1bgr,02-DEC-98,1b1x,1998-10-28
1bj0,10-DEC-14,4v2f,1999-01-13
1bjl,07-DEC-95,3bjl,1992-01-15
1bjy,10-DEC-14,4v2g,1999-01-13
1bkq,28-FEB-01,1f3c,1999-02-16
1bl2,02-JUL-99,1qrk,1999-02-16
1blm,15-JAN-91,3blm,1987-07-16
1blw,09-AUG-99,1cn4,1999-07-23
1bme,12-APR-00,1bvt,1997-07-07
1bmi,12-APR-00,2bmi,1997-07-23
1bmy,02-MAY-01,1ig6,1999-07-27
1bn2,16-FEB-99,2bn2,1992-04-15
1bnh,12-MAR-97,2bnh,1994-04-30
1bov,13-OCT-10,2xsc,1993-10-31
1bqv,16-OCT-07,2jv3,1998-10-14
1br7,24-SEP-99,2e2c,1998-09-02
1buk,13-SEP-99,2dik,1998-09-09
1bur,13-MAR-02,1ir1,1997-01-11
1bv0,09-DEC-98,1b27,1998-09-30
1bv5,24-JAN-00,1drq,1998-12-23
1bv6,24-JAN-00,1drm,1998-12-23
1bvs,28-APR-21,7oa5,1998-09-23
1bxj,19-JUN-07,2v1v,1998-10-14
1byk,11-FEB-15,4xxh,1999-02-09
1byt,03-JUN-03,1no3,1999-02-02
